delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,1000,exp,332,8,27,space,1.3210489000193775,None,400,1,[3.389490900095552],[3.3895676000975072],27,8,332,5,1654.8780291000148,,1654.8641074000625,1654.8780291000148,1655.8787358000409,1655.8787358000409,1655.8787358000409,1657.2116607000353,space,1.3210489000193775,None,1657.212437900016,1657.9122152666716,1658.222444800078,1658.2106472000014,1658.2113645999925,1658.222444800078,1658.222444800078,1658.222444800078,1661.6125617000507,400,1,[3.389490900095552],[3.3895676000975072],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.4,1000,exp,333,9,27,space,0.5164145000744611,None,300,1,[4.207075900048949],[4.207085400004871],27,9,333,7,1661.628654500004,,1661.6129154000664,1661.628654500004,1662.6116861000191,1662.6116861000191,1662.6283888000762,1663.1291240000864,space,0.5164145000744611,None,1663.13037550007,1663.5288203666607,1663.838326600031,1663.8277075000806,1663.8283346000826,1663.838326600031,1663.838326600031,1663.838326600031,1668.045737800072,300,1,[4.207075900048949],[4.207085400004871],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.7,400,unexp,334,10,27,space,1.3225907000014558,None,800,1,[1.7719605000456795],[1.7719683999894187],27,10,334,2,1668.061834400054,,1668.0460324999876,1668.061834400054,1669.0445820000023,1669.0445820000023,1669.0614790000254,1670.3793354000663,space,1.3225907000014558,None,1670.3804705999792,1671.0957201667518,1671.4069710000185,1671.3981971000321,1671.3986890000524,1671.4069710000185,1671.4069710000185,1671.4069710000185,1673.1792193000438,800,1,[1.7719605000456795],[1.7719683999894187],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.4,400,unexp,335,11,27,space,0.4496648999629542,None,600,1,[2.981355300056748],[2.981366500025615],27,11,335,1,1673.1945403000573,,1673.1794899000088,1673.1945403000573,1674.1785290000262,1674.1785290000262,1674.1955928000389,1674.6288745000493,space,0.4496648999629542,None,1674.6297508000862,1675.0283869667367,1675.3371840000618,1675.3250748000573,1675.3256653000135,1675.3371840000618,1675.3371840000618,1675.3371840000618,1678.3189694000175,600,1,[2.981355300056748],[2.981366500025615],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.4,1000,exp,336,0,28,space,0.2873921999707818,None,400,1,[6.307952200062573],[6.307980700046755],28,0,336,10,1678.3324976000004,,1678.319263900048,1678.3324976000004,1679.328677900019,1679.328677900019,1679.3455016000662,1679.6291806000518,space,0.2873921999707818,None,1679.630474400008,1680.028487066684,1680.3407574000303,1680.3289977000095,1680.3298880000366,1680.3407574000303,1680.3407574000303,1680.3407574000303,1686.6494828000432,400,1,[6.307952200062573],[6.307980700046755],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.4,1000,exp,337,1,28,space,0.39448149991221726,None,400,1,[4.94368869997561],[4.943701299955137],28,1,337,7,1686.6618145999964,,1686.649987300043,1686.6618145999964,1687.662052800064,1687.662052800064,1687.662052800064,1688.0627367000561,space,0.39448149991221726,None,1688.06401620002,1688.4782069667165,1688.7852945000632,1688.7742553000571,1688.7747417000355,1688.7852945000632,1688.7852945000632,1688.7852945000632,1693.7293542000698,400,1,[4.94368869997561],[4.943701299955137],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.7,1000,exp,338,2,28,space,0.2831638999050483,None,300,1,[2.1694318000227213],[2.169442899990827],28,2,338,8,1693.745552700013,,1693.7296262000455,1693.745552700013,1694.7286742000142,1694.7286742000142,1694.7451288000448,1695.0129544000374,space,0.2831638999050483,None,1695.0142520000227,1695.7132371666996,1696.0281629000092,1696.0176923000254,1696.0182199000847,1696.0281629000092,1696.0281629000092,1696.0281629000092,1698.1980045000091,300,1,[2.1694318000227213],[2.169442899990827],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.4,400,unexp,339,3,28,space,0.5565417999168858,None,400,1,[2.1249263999052346],[2.124937599990517],28,3,339,1,1698.211808699998,,1698.1982825000305,1698.211808699998,1699.2122400000226,1699.2122400000226,1699.2122400000226,1699.7792578000808,space,0.5565417999168858,None,1699.7800512000686,1700.178632566651,1700.4873363000806,1700.4757868000306,1700.4768307000631,1700.4873363000806,1700.4873363000806,1700.4873363000806,1702.612592300051,400,1,[2.1249263999052346],[2.124937599990517],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.7,1000,exp,340,4,28,space,0.5939748999662697,None,600,1,[2.2683468000032008],[2.2683574999682605],28,4,340,5,1702.6286548000062,,1702.6128729999764,1702.6286548000062,1703.6181217000121,1703.6181217000121,1703.633639000007,1704.2172824000008,space,0.5939748999662697,None,1704.218285100069,1704.916348366711,1705.2280941000208,1705.216491600033,1705.2172368000029,1705.2280941000208,1705.2280941000208,1705.2280941000208,1707.4968719000462,600,1,[2.2683468000032008],[2.2683574999682605],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
0.1,400,unexp,341,5,28,space,0.7447147000348195,None,350,1,[2.9582180000143126],[2.9582323000067845],28,5,341,0,1707.5116852000356,,1707.497162100044,1707.5116852000356,1708.5117381999735,1708.5117381999735,1708.5117381999735,1709.2630654000677,space,0.7447147000348195,None,1709.2640937999822,1709.378572866732,1709.6873753999826,1709.6771304000868,1709.6781210000627,1709.6873753999826,1709.6873753999826,1709.6873753999826,1712.6460200999863,350,1,[2.9582180000143126],[2.9582323000067845],1,001,2025-11-13_16h28.09.951,untitled,,2025.1.1,59.89630754560734,2025-11-13 16h28.23.966103 +0530,
